NAME,#,MIRIAM,SHORT NAME,COMPARTMENT,ensembl_gene,ensembl_transcript,ensembl_protein,entrez_gene,refseq_gene,uniprot_gene
ENSMUSG00000022681,,,,,ENSMUSG00000022681,ENSMUST00000023362; ENSMUST00000115805; ENSMUST00000123849; ENSMUST00000124604; ENSMUST00000136618; ENSMUST00000139161; ENSMUST00000141791; ENSMUST00000145248; ENSMUST00000230788,ENSMUSP00000023362; ENSMUSP00000111472,18203,NC_000082.7,Q64311;Q8BRX4;D3YZ99
ENSMUSG00000022683,,,,,ENSMUSG00000022683,ENSMUST00000023364; ENSMUST00000115807; ENSMUST00000127780; ENSMUST00000156504,ENSMUSP00000023364; ENSMUSP00000111474,26565,NC_000082.7,Q9QXX3;Q8C5Y6;Q8K130
ENSMUSG00000022686,,,,,ENSMUSG00000022686,ENSMUST00000079780; ENSMUST00000119468; ENSMUST00000121344; ENSMUST00000131557; ENSMUST00000152845; ENSMUST00000155780; ENSMUST00000164397,ENSMUSP00000078712; ENSMUSP00000112624; ENSMUSP00000113145; ENSMUSP00000126157,108105,NC_000082.7,Q8BGY6
ENSMUSG00000022698,,,,,ENSMUSG00000022698,ENSMUST00000063520; ENSMUST00000063542; ENSMUST00000159514; ENSMUST00000161326,ENSMUSP00000067361; ENSMUSP00000070140; ENSMUSP00000124291; ENSMUSP00000125517,72117,NC_000082.7,Q6PGB6
ENSMUSG00000022704,,,,,ENSMUSG00000022704,ENSMUST00000023387; ENSMUST00000124674; ENSMUST00000131360; ENSMUST00000134792; ENSMUST00000143858; ENSMUST00000144626; ENSMUST00000146343; ENSMUST00000151963; ENSMUST00000156568; ENSMUST00000239112,ENSMUSP00000023387; ENSMUSP00000158885; ENSMUSP00000159013; ENSMUSP00000159054; ENSMUSP00000159132,106248,NC_000082.7,B8ZXI1;Z4YJE9;A0A5F8MPN7;A0A5F8MPK7;A0A5F8MPV7
ENSMUSG00000022707,,,,,ENSMUSG00000022707,ENSMUST00000023393; ENSMUST00000099628; ENSMUST00000163832; ENSMUST00000164300; ENSMUST00000169432; ENSMUST00000170464; ENSMUST00000171132,ENSMUSP00000023393; ENSMUSP00000127642; ENSMUSP00000131320; ENSMUSP00000132603,74185,NC_000082.7,Q9D6Y9
ENSMUSG00000022710,,,,,ENSMUSG00000022710,ENSMUST00000159281; ENSMUST00000159287; ENSMUST00000159387; ENSMUST00000159503; ENSMUST00000159509; ENSMUST00000160326; ENSMUST00000160405; ENSMUST00000161046; ENSMUST00000162141; ENSMUST00000162445; ENSMUST00000162929; ENSMUST00000172505; ENSMUST00000173939,ENSMUSP00000124093; ENSMUSP00000124382; ENSMUSP00000124576; ENSMUSP00000133398,252870,NC_000082.7,Q6A4J8;F8VPX1;E9PXY8;E0CY04;G3UWR8
ENSMUSG00000022711,,,,,ENSMUSG00000022711,ENSMUST00000023396; ENSMUST00000130885; ENSMUST00000131385; ENSMUST00000134975; ENSMUST00000142935; ENSMUST00000143174; ENSMUST00000230828,ENSMUSP00000023396; ENSMUSP00000155554,54128,NC_000082.7,Q9Z2M7;Q545N8
ENSMUSG00000022742,,,,,ENSMUSG00000022742,ENSMUST00000060077; ENSMUST00000231276; ENSMUST00000231342; ENSMUST00000231492; ENSMUST00000232176; ENSMUST00000232532,ENSMUSP00000055455,12892,NC_000082.7,P36552
ENSMUSG00000022747,,,,,ENSMUSG00000022747,ENSMUST00000114357; ENSMUST00000114358; ENSMUST00000123918; ENSMUST00000125712; ENSMUST00000126978; ENSMUST00000135721; ENSMUST00000137035; ENSMUST00000137850; ENSMUST00000142900; ENSMUST00000145283; ENSMUST00000148061; ENSMUST00000149197; ENSMUST00000149456; ENSMUST00000151510; ENSMUST00000232391,ENSMUSP00000109997; ENSMUSP00000109998; ENSMUSP00000115756; ENSMUSP00000116202; ENSMUSP00000117849; ENSMUSP00000155951; ENSMUSP00000156105; ENSMUSP00000156169; ENSMUSP00000156226; ENSMUSP00000156309,54613,NC_000082.7,Q8VIB3
ENSMUSG00000022751,,,,,ENSMUSG00000022751,ENSMUST00000023432; ENSMUST00000231423; ENSMUST00000231733; ENSMUST00000231855; ENSMUST00000231934; ENSMUST00000232573; ENSMUST00000232662,ENSMUSP00000023432; ENSMUSP00000155971; ENSMUSP00000156191; ENSMUSP00000156334,52633,NC_000082.7,Q9JHW2
ENSMUSG00000022781,,,,,ENSMUSG00000022781,ENSMUST00000023467; ENSMUST00000125019,ENSMUSP00000023467,224105,NC_000082.7,Q8CIN4;Q5DTJ2
ENSMUSG00000022789,,,,,ENSMUSG00000022789,ENSMUST00000023477; ENSMUST00000096229; ENSMUST00000115749; ENSMUST00000230022; ENSMUST00000230038; ENSMUST00000230958; ENSMUST00000230980,ENSMUSP00000023477; ENSMUSP00000093945; ENSMUSP00000111415; ENSMUSP00000155155; ENSMUSP00000155429; ENSMUSP00000155605,74006,NC_000082.7,Q8K1M6;A0A2U3TZ67;E9PUD2
ENSMUSG00000022792,,,,,ENSMUSG00000022792,ENSMUST00000059955; ENSMUST00000159583; ENSMUST00000159683; ENSMUST00000159962; ENSMUST00000161191; ENSMUST00000162734,ENSMUSP00000055277; ENSMUSP00000124606; ENSMUSP00000125252; ENSMUSP00000125496,70120,NC_000082.7,Q8BYL4;Q8BJJ2
ENSMUSG00000022793,,,,,ENSMUSG00000022793,ENSMUST00000023482; ENSMUST00000114708; ENSMUST00000114710; ENSMUST00000114711; ENSMUST00000114712; ENSMUST00000154902; ENSMUST00000161010; ENSMUST00000231655; ENSMUST00000232454,ENSMUSP00000023482; ENSMUSP00000110356; ENSMUSP00000110358; ENSMUSP00000110359; ENSMUSP00000110360; ENSMUSP00000118593; ENSMUSP00000155991; ENSMUSP00000156271,56375,NC_000082.7,Q9JJ04
ENSMUSG00000022814,,,,,ENSMUSG00000022814,ENSMUST00000023510; ENSMUST00000131990,ENSMUSP00000023510; ENSMUSP00000119423,22247,NC_000082.7,P13439;Q544K9
ENSMUSG00000022820,,,,,ENSMUSG00000022820,ENSMUST00000023514; ENSMUST00000135019; ENSMUST00000231881,ENSMUSP00000023514,68194,NC_000082.7,Q9CQC7
ENSMUSG00000022821,,,,,ENSMUSG00000022821,ENSMUST00000159787; ENSMUST00000159938; ENSMUST00000160847; ENSMUST00000161193; ENSMUST00000162918,ENSMUSP00000125492; ENSMUSP00000156254,15233,NC_000082.7,O09173
ENSMUSG00000022822,,,,,ENSMUSG00000022822,ENSMUST00000077867; ENSMUST00000079158; ENSMUST00000096199; ENSMUST00000115547; ENSMUST00000127582; ENSMUST00000128978; ENSMUST00000134413; ENSMUST00000134962; ENSMUST00000137985; ENSMUST00000148003; ENSMUST00000150340; ENSMUST00000231522; ENSMUST00000232044,ENSMUSP00000077031; ENSMUSP00000078158; ENSMUSP00000093913; ENSMUSP00000111209; ENSMUSP00000156205,27416,NC_000082.7,Q9R1X5;F8WJ10;Q6P8Q2;A0A338P7E4
ENSMUSG00000022836,,,,,ENSMUSG00000022836,ENSMUST00000023538; ENSMUST00000155268; ENSMUST00000231589; ENSMUST00000231998; ENSMUST00000232066; ENSMUST00000232477; ENSMUST00000232482; ENSMUST00000232541,ENSMUSP00000023538; ENSMUSP00000156149,107589,NC_000082.7,B1B1A8
ENSMUSG00000022840,,,,,ENSMUSG00000022840,ENSMUST00000114913; ENSMUST00000232470,ENSMUSP00000110563,224129,NC_000082.7,P84309
ENSMUSG00000022842,,,,,ENSMUSG00000022842,ENSMUST00000003898; ENSMUST00000122306; ENSMUST00000125971; ENSMUST00000133344; ENSMUST00000145511; ENSMUST00000152246; ENSMUST00000231739,ENSMUSP00000003898; ENSMUSP00000114039; ENSMUSP00000119693; ENSMUSP00000120239,107522,NC_000082.7,B2RQR8;Q80Z57;Q80Z58
ENSMUSG00000022844,,,,,ENSMUSG00000022844,ENSMUST00000023550; ENSMUST00000231406; ENSMUST00000231595; ENSMUST00000231779,ENSMUSP00000023550,72599,NC_000082.7,Q921X9
ENSMUSG00000022853,,,,,ENSMUSG00000022853,ENSMUST00000023559,ENSMUSP00000023559,74147,NC_000082.7,Q9DBM2
ENSMUSG00000022867,,,,,ENSMUSG00000022867,ENSMUST00000023580; ENSMUST00000232047; ENSMUST00000232351; ENSMUST00000232538; ENSMUST00000239066,ENSMUSP00000023580; ENSMUSP00000159060,30940,NC_000082.7,P57080;A0A5F8MPP4
ENSMUSG00000022884,,,,,ENSMUSG00000022884,ENSMUST00000023599; ENSMUST00000077605; ENSMUST00000123413; ENSMUST00000125553; ENSMUST00000125969; ENSMUST00000130113; ENSMUST00000130483; ENSMUST00000130775; ENSMUST00000131871; ENSMUST00000134816; ENSMUST00000135020; ENSMUST00000140017; ENSMUST00000141392; ENSMUST00000142031; ENSMUST00000144493; ENSMUST00000147117; ENSMUST00000148085; ENSMUST00000149328; ENSMUST00000150117; ENSMUST00000152129; ENSMUST00000156227; ENSMUST00000168891; ENSMUST00000187168; ENSMUST00000232287,ENSMUSP00000023599; ENSMUSP00000090876; ENSMUSP00000115649; ENSMUSP00000118141; ENSMUSP00000121745; ENSMUSP00000127030; ENSMUSP00000140809; ENSMUSP00000156170,13682,NC_000082.7,P10630;E9Q561;Q8BTU6;Q52KC1;D6RJ60;D6RJ11;A0A338P6X5
ENSMUSG00000022885,,,,,ENSMUSG00000022885,ENSMUST00000023601; ENSMUST00000115335; ENSMUST00000128050; ENSMUST00000152449; ENSMUST00000178797,ENSMUSP00000023601; ENSMUSP00000110992; ENSMUSP00000121865; ENSMUSP00000136206,20440,NC_000082.7,Q64685;Q8BM62
ENSMUSG00000022890,,,,,ENSMUSG00000022890,ENSMUST00000023608; ENSMUST00000114191; ENSMUST00000114193; ENSMUST00000127651; ENSMUST00000138279; ENSMUST00000140036; ENSMUST00000144799; ENSMUST00000146103; ENSMUST00000146225; ENSMUST00000148787; ENSMUST00000150502; ENSMUST00000155956,ENSMUSP00000023608; ENSMUSP00000109829; ENSMUSP00000109831; ENSMUSP00000122527,11957,NC_000082.7,P97450
ENSMUSG00000022897,,,,,ENSMUSG00000022897,ENSMUST00000023614; ENSMUST00000119878; ENSMUST00000122284; ENSMUST00000134383; ENSMUST00000139250; ENSMUST00000155791,ENSMUSP00000023614; ENSMUSP00000112853; ENSMUSP00000113660; ENSMUSP00000119669; ENSMUSP00000120344,13548,NC_000082.7,Q61214;A9C475;A1L341;Q8C774;F6U6X3;A9C477;A9C478
ENSMUSG00000022899,,,,,ENSMUSG00000022899,ENSMUST00000023616; ENSMUST00000100308; ENSMUST00000163471; ENSMUST00000163964; ENSMUST00000164579; ENSMUST00000164770; ENSMUST00000165380; ENSMUST00000165531; ENSMUST00000166399; ENSMUST00000167909; ENSMUST00000167941; ENSMUST00000168279; ENSMUST00000169644; ENSMUST00000172382,ENSMUSP00000023616; ENSMUSP00000131395; ENSMUSP00000132029; ENSMUSP00000132663; ENSMUSP00000132885,57738,NC_000082.7,Q80XC0;Q9JM03;E9Q0L2;E9PYQ9;G3XA51
ENSMUSG00000022906,,,,,ENSMUSG00000022906,ENSMUST00000023622; ENSMUST00000114877; ENSMUST00000114878; ENSMUST00000122870; ENSMUST00000128878; ENSMUST00000153066; ENSMUST00000159160,ENSMUSP00000023622; ENSMUSP00000110528; ENSMUSP00000123736; ENSMUSP00000124098,80285,NC_000082.7,Q8CAS9
ENSMUSG00000022940,,,,,ENSMUSG00000022940,ENSMUST00000113905; ENSMUST00000113906; ENSMUST00000113910; ENSMUST00000113914; ENSMUST00000113917; ENSMUST00000138514; ENSMUST00000146924; ENSMUST00000232294,ENSMUSP00000109538; ENSMUSP00000109539; ENSMUSP00000109543; ENSMUSP00000109547; ENSMUSP00000109550; ENSMUSP00000114477; ENSMUSP00000155972,56176,NC_000082.7,Q9JHG1;B8JK65;B8JK67;B8JK66;Q6P8Q9;B8JK63
ENSMUSG00000022947,,,,,ENSMUSG00000022947,ENSMUST00000039620; ENSMUST00000231302,ENSMUSP00000047712; ENSMUSP00000156328,109857,NC_000082.7,Q8K354
ENSMUSG00000022956,,,,,ENSMUSG00000022956,ENSMUST00000023677; ENSMUST00000132049; ENSMUST00000139277; ENSMUST00000150642; ENSMUST00000154661; ENSMUST00000155452,ENSMUSP00000023677; ENSMUSP00000118216; ENSMUSP00000156308; ENSMUSP00000156380,28080,NC_000082.7,Q9DB20
ENSMUSG00000022962,,,,,ENSMUSG00000022962,ENSMUST00000023684; ENSMUST00000120450; ENSMUST00000156713; ENSMUST00000231380; ENSMUST00000231444; ENSMUST00000231702; ENSMUST00000231775; ENSMUST00000231863; ENSMUST00000232289; ENSMUST00000232367; ENSMUST00000232620; ENSMUST00000232640; ENSMUST00000232643,ENSMUSP00000023684; ENSMUSP00000114034; ENSMUSP00000119272; ENSMUSP00000155865; ENSMUSP00000155957; ENSMUSP00000156002; ENSMUSP00000156130; ENSMUSP00000156142; ENSMUSP00000156232,14450,NC_000082.7,Q64737
ENSMUSG00000022973,,,,,ENSMUSG00000022973,ENSMUST00000118246; ENSMUST00000118390; ENSMUST00000121759; ENSMUST00000125032; ENSMUST00000129041; ENSMUST00000129743; ENSMUST00000130813; ENSMUST00000154276; ENSMUST00000156140; ENSMUST00000170853; ENSMUST00000231472; ENSMUST00000231524,ENSMUSP00000113308; ENSMUSP00000113518; ENSMUSP00000119712; ENSMUSP00000120399; ENSMUSP00000122675; ENSMUSP00000123231; ENSMUSP00000128997; ENSMUSP00000155939; ENSMUSP00000156148,104015,NC_000082.7,E9Q7S0;D3Z656;A0A338P6V7;F6XIX0;F7BQW7;D3Z1M7;F7CD11;A0A338P6C7;F6VSS8
ENSMUSG00000022982,,,,,ENSMUSG00000022982,ENSMUST00000023707; ENSMUST00000232505,ENSMUSP00000023707,20655,NC_000082.7,P08228
ENSMUSG00000022991,,,,,ENSMUSG00000022991,ENSMUST00000023726,ENSMUSP00000023726,16770,NC_000081.7,P29752;A0A077S9Z6
ENSMUSG00000022994,,,,,ENSMUSG00000022994,ENSMUST00000096224; ENSMUST00000226236; ENSMUST00000226500; ENSMUST00000227501; ENSMUST00000228566; ENSMUST00000228596; ENSMUST00000228903,ENSMUSP00000093939; ENSMUSP00000154012; ENSMUSP00000154421; ENSMUSP00000154693; ENSMUSP00000154696,11512,NC_000081.7,Q01341;A0A2I3BRC5;F8VQ52;A0A2I3BQ20;A0A2I3BRS6;A0A2I3BS04
ENSMUSG00000023013,,,,,ENSMUSG00000023013,ENSMUST00000023752,ENSMUSP00000023752,11827,NC_000081.7,P56402;Q3UQD4
ENSMUSG00000023019,,,,,ENSMUSG00000023019,ENSMUST00000023760; ENSMUST00000161768; ENSMUST00000162194,ENSMUSP00000023760; ENSMUSP00000125164,14555,NC_000081.7,P13707
ENSMUSG00000023021,,,,,ENSMUSG00000023021,ENSMUST00000023762; ENSMUST00000109035; ENSMUST00000175876; ENSMUST00000176248; ENSMUST00000176627; ENSMUST00000176970,ENSMUSP00000023762; ENSMUSP00000104663; ENSMUSP00000134845; ENSMUSP00000134988; ENSMUSP00000135074; ENSMUSP00000135723,71949,NC_000081.7,Q9D6K9
ENSMUSG00000023030,,,,,ENSMUSG00000023030,ENSMUST00000023774; ENSMUST00000123461; ENSMUST00000124324; ENSMUST00000136168; ENSMUST00000138843; ENSMUST00000140535; ENSMUST00000154331; ENSMUST00000154676,ENSMUSP00000023774; ENSMUSP00000114702; ENSMUSP00000115019; ENSMUSP00000115283; ENSMUSP00000115357; ENSMUSP00000116463; ENSMUSP00000119056,18174,NC_000081.7,P49282
ENSMUSG00000023032,,,,,ENSMUSG00000023032,ENSMUST00000023776; ENSMUST00000160256; ENSMUST00000161564; ENSMUST00000162049; ENSMUST00000162483; ENSMUST00000162744; ENSMUST00000162805,ENSMUSP00000023776; ENSMUSP00000123864; ENSMUSP00000125090,59033,NC_000081.7,Q8JZR6;Q3UR07
ENSMUSG00000023044,,,,,ENSMUSG00000023044,ENSMUST00000023805; ENSMUST00000229043; ENSMUST00000229252; ENSMUST00000229345; ENSMUST00000229470; ENSMUST00000229514; ENSMUST00000229770; ENSMUST00000229938; ENSMUST00000230008; ENSMUST00000230253; ENSMUST00000230288; ENSMUST00000230322; ENSMUST00000230328; ENSMUST00000230342; ENSMUST00000230644; ENSMUST00000230656; ENSMUST00000230665; ENSMUST00000230687; ENSMUST00000230708; ENSMUST00000230895; ENSMUST00000231029; ENSMUST00000231030; ENSMUST00000231048,ENSMUSP00000023805; ENSMUSP00000154991; ENSMUSP00000155067; ENSMUSP00000155075; ENSMUSP00000155153; ENSMUSP00000155192; ENSMUSP00000155265; ENSMUSP00000155282; ENSMUSP00000155394; ENSMUSP00000155492; ENSMUSP00000155509; ENSMUSP00000155558; ENSMUSP00000155560; ENSMUSP00000155633; ENSMUSP00000155645; ENSMUSP00000155715; ENSMUSP00000155756,246277,NC_000081.7,Q9DBE0;A0A2R8VI50;A0A2R8VHX0;A0A2R8VI48;A0A2R8VK60;A0A2R8VHN7;A0A2R8VI19;A0A2R8VI21;A0A2R8VK32;A0A2R8VHW7;A0A2R8VHX6;A0A2R8VHG9;A0A2R8VHG5;A0A2R8W6X8;A0A2R8VHD3;A0A2R8VHJ2
ENSMUSG00000023045,,,,,ENSMUSG00000023045,ENSMUST00000023806; ENSMUST00000160465,ENSMUSP00000023806; ENSMUSP00000124628,223920,NC_000081.7,O88908
ENSMUSG00000023047,,,,,ENSMUSG00000023047,ENSMUST00000023809; ENSMUST00000161376; ENSMUST00000162893; ENSMUST00000229278; ENSMUST00000229566,ENSMUSP00000023809; ENSMUSP00000123735; ENSMUSP00000154968; ENSMUSP00000155001,110542,NC_000081.7,Q8K592
ENSMUSG00000023050,,,,,ENSMUSG00000023050,ENSMUST00000023812; ENSMUST00000164343; ENSMUST00000165174; ENSMUST00000167677; ENSMUST00000169162; ENSMUST00000169367; ENSMUST00000169377; ENSMUST00000171565,ENSMUSP00000023812; ENSMUSP00000127629; ENSMUSP00000129251; ENSMUSP00000129472; ENSMUSP00000130786; ENSMUSP00000133209,26404,NC_000081.7,Q60700
ENSMUSG00000023057,,,,,ENSMUSG00000023057,ENSMUST00000023820,ENSMUSP00000023820,14079,NC_000069.7,P55050;Q53YP5
ENSMUSG00000023073,,,,,ENSMUSG00000023073,ENSMUST00000023835,ENSMUSP00000023835,20494,NC_000074.7,P70172;Q0VBB8
ENSMUSG00000023088,,,,,ENSMUSG00000023088,ENSMUST00000100167; ENSMUST00000130671; ENSMUST00000133454; ENSMUST00000134776; ENSMUST00000134960; ENSMUST00000144074; ENSMUST00000144676; ENSMUST00000146032; ENSMUST00000147759; ENSMUST00000154748; ENSMUST00000156089; ENSMUST00000230780,ENSMUSP00000097743; ENSMUSP00000115627; ENSMUSP00000115763; ENSMUSP00000116714; ENSMUSP00000116726; ENSMUSP00000120933; ENSMUSP00000122656,17250,NC_000082.7,O35379;A5D6P3
ENSMUSG00000023089,,,,,ENSMUSG00000023089,ENSMUST00000023851; ENSMUST00000118558; ENSMUST00000132588; ENSMUST00000141274,ENSMUSP00000023851; ENSMUSP00000112971,68202,NC_000072.7,Q9CPP6;D3YTQ8
ENSMUSG00000023110,,,,,ENSMUSG00000023110,ENSMUST00000023873; ENSMUST00000132227; ENSMUST00000132801; ENSMUST00000133552; ENSMUST00000138367; ENSMUST00000139964; ENSMUST00000147214,ENSMUSP00000023873; ENSMUSP00000121502; ENSMUSP00000138549; ENSMUSP00000154584,27374,NC_000080.7,Q8CIG8;F6QQQ6;A0A0R4J049;S4R295;A0A2I3BRG2
ENSMUSG00000023122,,,,,ENSMUSG00000023122,ENSMUST00000023886,ENSMUSP00000023886,69083,NC_000083.7,Q9D939
ENSMUSG00000023143,,,,,ENSMUSG00000023143,ENSMUST00000023911; ENSMUST00000144490; ENSMUST00000147567; ENSMUST00000156450,ENSMUSP00000023911; ENSMUSP00000117051,27426,NC_000082.7,Q8BJ48
ENSMUSG00000023156,,,,,ENSMUSG00000023156,ENSMUST00000023924; ENSMUST00000180369,ENSMUSP00000023924; ENSMUSP00000136494,67053,NC_000080.7,Q9CQH8
ENSMUSG00000023169,,,,,ENSMUSG00000023169,ENSMUST00000088452; ENSMUST00000088454; ENSMUST00000100262; ENSMUST00000229253; ENSMUST00000230607; ENSMUST00000230756; ENSMUST00000230767,ENSMUSP00000085799; ENSMUSP00000085801; ENSMUSP00000097833; ENSMUSP00000155160,105727,NC_000081.7,Q8K2P7
ENSMUSG00000023175,,,,,ENSMUSG00000023175,ENSMUST00000067036; ENSMUST00000105381; ENSMUST00000178383; ENSMUST00000179201; ENSMUST00000179781; ENSMUST00000180235,ENSMUSP00000070751; ENSMUSP00000101020; ENSMUSP00000136487; ENSMUSP00000137126,12215,NC_000076.7,P18572
ENSMUSG00000023249,,,,,ENSMUSG00000023249,ENSMUST00000067218; ENSMUST00000112479; ENSMUST00000123555; ENSMUST00000125850; ENSMUST00000139362; ENSMUST00000140029; ENSMUST00000145396; ENSMUST00000156426; ENSMUST00000214682,ENSMUSP00000064513; ENSMUSP00000108098; ENSMUSP00000117329; ENSMUSP00000119244; ENSMUSP00000123054; ENSMUSP00000149572,235587,NC_000075.7,Q3ULW8
ENSMUSG00000023262,,,,,ENSMUSG00000023262,ENSMUST00000024031; ENSMUST00000187324; ENSMUST00000189097; ENSMUST00000190803; ENSMUST00000190851; ENSMUST00000190900; ENSMUST00000190972; ENSMUST00000214275; ENSMUST00000215395; ENSMUST00000215506; ENSMUST00000216400; ENSMUST00000217531,ENSMUSP00000024031; ENSMUSP00000139931; ENSMUSP00000139953; ENSMUSP00000140582; ENSMUSP00000149394; ENSMUSP00000149516; ENSMUSP00000149636; ENSMUSP00000149789; ENSMUSP00000150039,109652,NC_000075.7,Q99JW2;A0A1L1SRC1;A0A0R4J050;A0A1L1SRL5;A0A1L1SS90;A0A1L1SSU4;A0A087WPX1;A0A1L1SRW7;A0A087WRE0;A0A087WPV3
ENSMUSG00000023286,,,,,ENSMUSG00000023286,ENSMUST00000024056; ENSMUST00000103175; ENSMUST00000105581; ENSMUST00000105582; ENSMUST00000105583; ENSMUST00000118192; ENSMUST00000124092; ENSMUST00000136492; ENSMUST00000138218; ENSMUST00000150846; ENSMUST00000151892; ENSMUST00000152536; ENSMUST00000166489,ENSMUSP00000024056; ENSMUSP00000099464; ENSMUSP00000101206; ENSMUSP00000101207; ENSMUSP00000101208; ENSMUSP00000112785; ENSMUSP00000114235; ENSMUSP00000120855; ENSMUSP00000127712,140499,NC_000070.7,Q6P073;B0QZM1;B1ASK8;B0QZM2;B0QZM0
ENSMUSG00000023328,,,,,ENSMUSG00000023328,ENSMUST00000024099; ENSMUST00000085934; ENSMUST00000125195; ENSMUST00000132191; ENSMUST00000137126; ENSMUST00000138591; ENSMUST00000141123; ENSMUST00000150983; ENSMUST00000196208,ENSMUSP00000024099; ENSMUSP00000083097; ENSMUSP00000117452; ENSMUSP00000119813; ENSMUSP00000121378; ENSMUSP00000123248; ENSMUSP00000123295; ENSMUSP00000142427,11423,NC_000071.7,P21836;Q543Z1
ENSMUSG00000023403,,,,,ENSMUSG00000023403,ENSMUST00000024171; ENSMUST00000163954; ENSMUST00000167846; ENSMUST00000172459,ENSMUSP00000024171; ENSMUSP00000127545; ENSMUSP00000130561; ENSMUSP00000132896,77485,NC_000072.7,Q99MW1
ENSMUSG00000023456,,,,,ENSMUSG00000023456,ENSMUST00000133251; ENSMUST00000139716; ENSMUST00000149610; ENSMUST00000154883; ENSMUST00000172132; ENSMUST00000204602; ENSMUST00000239432,ENSMUSP00000125292; ENSMUSP00000130858; ENSMUSP00000159368,21991,NC_000072.7,P17751
ENSMUSG00000023791,,,,,ENSMUSG00000023791,ENSMUST00000096109; ENSMUST00000133584; ENSMUST00000135677; ENSMUST00000136643; ENSMUST00000143011; ENSMUST00000144216; ENSMUST00000147003; ENSMUST00000147688; ENSMUST00000151250; ENSMUST00000155966; ENSMUST00000189013; ENSMUST00000232321,ENSMUSP00000093819; ENSMUSP00000114854; ENSMUSP00000118256; ENSMUSP00000119754; ENSMUSP00000120272; ENSMUSP00000121801; ENSMUSP00000122511; ENSMUSP00000141122; ENSMUSP00000156144,72084,NC_000082.7,Q99LV7;F6YX19;A0A087WSN5;F6RUP6;F6XTT6;F6WL03;F7CUX5;F6QPF7;F7DFD7
ENSMUSG00000023800,,,,,ENSMUSG00000023800,ENSMUST00000072156; ENSMUST00000169838; ENSMUST00000226434; ENSMUST00000226748; ENSMUST00000226905; ENSMUST00000226913; ENSMUST00000226997; ENSMUST00000227405; ENSMUST00000227604,ENSMUSP00000072020; ENSMUSP00000125842; ENSMUSP00000154598; ENSMUSP00000154627,24001,NC_000083.7,Q6ZPF3
ENSMUSG00000023802,,,,,ENSMUSG00000023802,ENSMUST00000115800,ENSMUSP00000111466,224480,NC_000083.7,Q672J9
ENSMUSG00000023805,,,,,ENSMUSG00000023805,ENSMUST00000061091; ENSMUST00000080283; ENSMUST00000115784; ENSMUST00000115785; ENSMUST00000115786; ENSMUST00000115787; ENSMUST00000115788; ENSMUST00000115789; ENSMUST00000115790; ENSMUST00000115791; ENSMUST00000126881; ENSMUST00000130661; ENSMUST00000134767; ENSMUST00000142409; ENSMUST00000154114; ENSMUST00000232567,ENSMUSP00000060382; ENSMUSP00000079164; ENSMUSP00000111451; ENSMUSP00000111452; ENSMUSP00000111456; ENSMUSP00000111457; ENSMUSP00000115371; ENSMUSP00000120006; ENSMUSP00000122316; ENSMUSP00000138449,20975,NC_000083.7,Q9D2G5;Q3TTB3;F8WHD8;D3YZB2;E9Q4P5;F6U4I6;S4R207;D3YWM9;D3YZB5;F7BI35
ENSMUSG00000023809,,,,,ENSMUSG00000023809,ENSMUST00000024575; ENSMUST00000231530; ENSMUST00000232136; ENSMUST00000232527; ENSMUST00000232617,ENSMUSP00000024575; ENSMUSP00000156179,20112,NC_000083.7,Q9WUT3;Q7TPD5
ENSMUSG00000023826,,,,,ENSMUSG00000023826,ENSMUST00000066658; ENSMUST00000097413; ENSMUST00000168593; ENSMUST00000179624; ENSMUST00000186167; ENSMUST00000186406; ENSMUST00000190849; ENSMUST00000190894; ENSMUST00000191124; ENSMUST00000218435; ENSMUST00000233294; ENSMUST00000233411; ENSMUST00000233436; ENSMUST00000233634; ENSMUST00000233706; ENSMUST00000233782,ENSMUSP00000127455; ENSMUSP00000136268; ENSMUSP00000140217; ENSMUSP00000140587; ENSMUSP00000151830; ENSMUSP00000156432; ENSMUSP00000156481; ENSMUSP00000156534; ENSMUSP00000156556; ENSMUSP00000156589; ENSMUSP00000156810,50873,NC_000083.7,Q9WVS6;D3JSV6;A0A3B2W489;B8YP88;B8YP90;B8YP89;F6TNF2;A0A1W2P7W2;A0A3B2W3P9;A0A087WQJ2;J3QMF8
ENSMUSG00000023827,,,,,ENSMUSG00000023827,ENSMUST00000024594; ENSMUST00000164143; ENSMUST00000167792; ENSMUST00000167905; ENSMUST00000170858; ENSMUST00000172259,ENSMUSP00000024594; ENSMUSP00000127417; ENSMUSP00000127477; ENSMUSP00000128085,68262,NC_000083.7,Q8K4X7
ENSMUSG00000023828,,,,,ENSMUSG00000023828,ENSMUST00000024595; ENSMUST00000233535,ENSMUSP00000024595; ENSMUSP00000156407,20519,NC_000083.7,Q9WTW5;Q547K2
ENSMUSG00000023829,,,,,ENSMUSG00000023829,ENSMUST00000024596; ENSMUST00000233601; ENSMUST00000233691,ENSMUSP00000024596; ENSMUSP00000156652,20517,NC_000083.7,O08966
ENSMUSG00000023832,,,,,ENSMUSG00000023832,ENSMUST00000007005; ENSMUST00000159358; ENSMUST00000159697; ENSMUST00000233792,ENSMUSP00000007005; ENSMUSP00000125066; ENSMUSP00000156406,110460,NC_000083.7,Q8CAY6
