ID,#,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE,old,RetiredID,hmdb,kegg.compound,pubchem.compound,obo.chebi:CHEBI,lipidmaps,metSBOTerms
(R)-3-hydroxybutanoate[m],,(R)-3-hydroxybutanoate,,bigg.metabolite/bhb;kegg.compound/C01089;hmdb/HMDB00011;chebi/CHEBI:17066;pubchem.compound/92135;lipidmaps/LMFA01050005;vmhmetabolite/bhb;metanetx.chemical/MNXM663;sbo/SBO:0000247,C4H8O3,,m,MMRNM0179m,,C01089,C01089[m],HMDB00011,C01089,92135,CHEBI:17066,LMFA01050005,SBO:0000247
(R)-3-hydroxybutanoate[s],,(R)-3-hydroxybutanoate,,bigg.metabolite/bhb;kegg.compound/C01089;hmdb/HMDB00011;chebi/CHEBI:17066;pubchem.compound/92135;lipidmaps/LMFA01050005;vmhmetabolite/bhb;metanetx.chemical/MNXM663;sbo/SBO:0000247,C4H8O3,,s,MMRNM0179s,,C01089,C01089[s],HMDB00011,C01089,92135,CHEBI:17066,LMFA01050005,SBO:0000247
(R)-3-Hydroxybutanoyl Coenzyme A[c],,(R)-3-Hydroxybutanoyl Coenzyme A,,kegg.compound/C03561;pubchem.compound/11966146,,"1S/C25H42N7O18P3S/c1-13(33)8-16(35)54-7-6-27-15(34)4-5-28-23(38)20(37)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-19(49-51(39,40)41)18(36)24(48-14)32-12-31-17-21(26)29-11-30-22(17)32/h11-14,18-20,24,33,36-37H,4-10H2,1-3H3,(H,27,34)(H,28,38)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)/p-4/t13-,14-,18-,19-,20+,24-/m1/s1",c,MMRNM0180c,-4.0,Cx1458,Cx1458[c],,C03561,11966146,,,
(R)-3-Hydroxybutanoyl Coenzyme A[m],,(R)-3-Hydroxybutanoyl Coenzyme A,,kegg.compound/C03561;pubchem.compound/11966146,,"1S/C25H42N7O18P3S/c1-13(33)8-16(35)54-7-6-27-15(34)4-5-28-23(38)20(37)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-19(49-51(39,40)41)18(36)24(48-14)32-12-31-17-21(26)29-11-30-22(17)32/h11-14,18-20,24,33,36-37H,4-10H2,1-3H3,(H,27,34)(H,28,38)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)/p-4/t13-,14-,18-,19-,20+,24-/m1/s1",m,MMRNM0180m,-4.0,Cx1458,Cx1458[m],,C03561,11966146,,,
(R)-3-hydroxybutanoyl-[ACP][c],,(R)-3-hydroxybutanoyl-[ACP],,kegg.compound/C04618;vmhmetabolite/HC01321;metanetx.chemical/MNXM91793;sbo/SBO:0000247,C4H7O2SR,,c,MMRNM0181c,,C04618,C04618[c],,C04618,,,,SBO:0000247
(R)-3-hydroxybutanoyl-CoA[m],,(R)-3-hydroxybutanoyl-CoA,,bigg.metabolite/3hbcoa__R;kegg.compound/C03561;chebi/CHEBI:15452;pubchem.compound/11966146;vmhmetabolite/3hbcoa_R;metanetx.chemical/MNXM1058;sbo/SBO:0000247,C25H42N7O18P3S,,m,MMRNM0182m,,C03561,C03561[m],,C03561,11966146,CHEBI:15452,,SBO:0000247
(R)-3-hydroxydecanoyl-[ACP][c],,(R)-3-hydroxydecanoyl-[ACP],,kegg.compound/C04619;vmhmetabolite/HC01322;metanetx.chemical/MNXM7127;sbo/SBO:0000247,C10H19O2SR,,c,MMRNM0183c,,C04619,C04619[c],,C04619,,,,SBO:0000247
(R)-3-hydroxyoctanoyl-[ACP][c],,(R)-3-hydroxyoctanoyl-[ACP],,kegg.compound/C04620;vmhmetabolite/HC01323;metanetx.chemical/MNXM10019;sbo/SBO:0000247,C8H15O2SR,,c,MMRNM0184c,,C04620,C04620[c],,C04620,,,,SBO:0000247
(R)-3-hydroxypalmitoyl-[ACP][c],,(R)-3-hydroxypalmitoyl-[ACP],,kegg.compound/C04633;vmhmetabolite/HC01326;metanetx.chemical/MNXM2576;sbo/SBO:0000247,C16H31O2SR,,c,MMRNM0185c,,C04633,C04633[c],,C04633,,,,SBO:0000247
(R)-4-phosphopantothenoyl-cysteine[c],,(R)-4-phosphopantothenoyl-cysteine,,bigg.metabolite/4ppcys;kegg.compound/C04352;chebi/CHEBI:15769;pubchem.compound/440304;vmhmetabolite/4ppcys;metanetx.chemical/MNXM483;sbo/SBO:0000247,C12H23N2O9PS,,c,MMRNM0186c,,C04352,C04352[c],,C04352,440304,CHEBI:15769,,SBO:0000247
(R)-4-phosphopantothenoyl-cysteine[m],,(R)-4-phosphopantothenoyl-cysteine,,bigg.metabolite/4ppcys;kegg.compound/C04352;chebi/CHEBI:15769;pubchem.compound/440304;vmhmetabolite/4ppcys;metanetx.chemical/MNXM483;sbo/SBO:0000247,C12H23N2O9PS,,m,MMRNM0186m,,C04352,C04352[m],,C04352,440304,CHEBI:15769,,SBO:0000247
(R)-5-Diphosphomevalonate[c],,(R)-5-Diphosphomevalonate,,bigg.metabolite/5dpmev;kegg.compound/C01143;chebi/CHEBI:15899;pubchem.compound/439418;vmhmetabolite/5dpmev;metanetx.chemical/MNXM689;sbo/SBO:0000247,,"1S/C6H14O10P2/c1-6(9,4-5(7)8)2-3-15-18(13,14)16-17(10,11)12/h9H,2-4H2,1H3,(H,7,8)(H,13,14)(H2,10,11,12)/p-4/t6-/m1/s1",c,MMRNM0187c,-4.0,C01143,C01143[c],,C01143,439418,CHEBI:15899,,SBO:0000247
(R)-5-Diphosphomevalonate[p],,(R)-5-Diphosphomevalonate,,bigg.metabolite/5dpmev;kegg.compound/C01143;chebi/CHEBI:15899;pubchem.compound/439418;vmhmetabolite/5dpmev;metanetx.chemical/MNXM689;sbo/SBO:0000247,,"1S/C6H14O10P2/c1-6(9,4-5(7)8)2-3-15-18(13,14)16-17(10,11)12/h9H,2-4H2,1H3,(H,7,8)(H,13,14)(H2,10,11,12)/p-4/t6-/m1/s1",p,MMRNM0187p,-4.0,C01143,C01143[p],,C01143,439418,CHEBI:15899,,SBO:0000247
(R)-5-phosphomevalonate[c],,(R)-5-phosphomevalonate,,bigg.metabolite/5pmev;kegg.compound/C01107;chebi/CHEBI:17436;pubchem.compound/439400;vmhmetabolite/5pmev;metanetx.chemical/MNXM567;sbo/SBO:0000247,C6H13O7P,,c,MMRNM0188c,,C01107,C01107[c],,C01107,439400,CHEBI:17436,,SBO:0000247
(R)-5-Phosphonatomevalonate[p],,(R)-5-Phosphonatomevalonate,,bigg.metabolite/5pmev;kegg.compound/C01107;chebi/CHEBI:17436;pubchem.compound/439400;vmhmetabolite/5pmev;metanetx.chemical/MNXM567;sbo/SBO:0000247,,"1S/C6H13O7P/c1-6(9,4-5(7)8)2-3-13-14(10,11)12/h9H,2-4H2,1H3,(H,7,8)(H2,10,11,12)/p-3/t6-/m1/s1",p,MMRNM0189p,-3.0,C01107,C01107[p],,C01107,439400,CHEBI:17436,,SBO:0000247
(R)-Lactaldehyde[c],,(R)-Lactaldehyde,,kegg.compound/C00937;pubchem.compound/439350,,"1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3/t3-/m1/s1",c,MMRNM0190c,0.0,Cx2610,Cx2610[c],,C00937,439350,,,
(R)-Lactaldehyde[m],,(R)-Lactaldehyde,,kegg.compound/C00937;pubchem.compound/439350,,"1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3/t3-/m1/s1",m,MMRNM0190m,0.0,Cx2610,Cx2610[m],,C00937,439350,,,
(R)-Lactate[c],,(R)-Lactate,,kegg.compound/C00256;pubchem.compound/61503,,"1/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/s2",c,MMRNM0191c,-1.0,Cx2608,Cx2608[c],,C00256,61503,,,
(R)-Lactate[m],,(R)-Lactate,,kegg.compound/C00256;pubchem.compound/61503,,"1/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/s2",m,MMRNM0191m,-1.0,Cx2608,Cx2608[m],,C00256,61503,,,
(R)-Lactate[s],,(R)-Lactate,,kegg.compound/C00256;pubchem.compound/61503,,"1/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/s2",s,MMRNM0191s,-1.0,Cx2608,Cx2608[s],,C00256,61503,,,
(R)-Methylmalonyl Coenzyme A[m],,(R)-Methylmalonyl Coenzyme A,,kegg.compound/C01213;pubchem.compound/439291,,"1S/C25H40N7O19P3S/c1-12(23(37)38)24(39)55-7-6-27-14(33)4-5-28-21(36)18(35)25(2,3)9-48-54(45,46)51-53(43,44)47-8-13-17(50-52(40,41)42)16(34)22(49-13)32-11-31-15-19(26)29-10-30-20(15)32/h10-13,16-18,22,34-35H,4-9H2,1-3H3,(H,27,33)(H,28,36)(H,37,38)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/p-5/t12-,13-,16-,17-,18+,22-/m1/s1",m,MMRNM0192m,-5.0,Cx2694,Cx2694[m],,C01213,439291,,,
(R)-methylmalonyl-CoA[m],,(R)-methylmalonyl-CoA,,bigg.metabolite/mmcoa__R;kegg.compound/C01213;chebi/CHEBI:15465;pubchem.compound/439291;vmhmetabolite/mmcoa_R;metanetx.chemical/MNXM608;sbo/SBO:0000247,C25H40N7O19P3S,,m,MMRNM0193m,,C01213,C01213[m],,C01213,439291,CHEBI:15465,,SBO:0000247
(R)-mevalonate[c],,(R)-mevalonate,,bigg.metabolite/mev__R;kegg.compound/C00418;hmdb/HMDB00227;chebi/CHEBI:25351;pubchem.compound/449;vmhmetabolite/mev_R;metanetx.chemical/MNXM333;sbo/SBO:0000247,C6H12O4,,c,MMRNM0194c,,C00418,C00418[c],HMDB00227,C00418,449,CHEBI:25351,,SBO:0000247
(R)-mevalonate[p],,(R)-mevalonate,,bigg.metabolite/mev__R;kegg.compound/C00418;hmdb/HMDB00227;chebi/CHEBI:25351;pubchem.compound/449;vmhmetabolite/mev_R;metanetx.chemical/MNXM333;sbo/SBO:0000247,C6H12O4,,p,MMRNM0194p,,C00418,C00418[p],HMDB00227,C00418,449,CHEBI:25351,,SBO:0000247
(R)-mevalonate[r],,(R)-mevalonate,,bigg.metabolite/mev__R;kegg.compound/C00418;hmdb/HMDB00227;chebi/CHEBI:25351;pubchem.compound/449;vmhmetabolite/mev_R;metanetx.chemical/MNXM333;sbo/SBO:0000247,C6H12O4,,r,MMRNM0194r,,C00418,C00418[r],HMDB00227,C00418,449,CHEBI:25351,,SBO:0000247
(R)-Pantothenate[c],,(R)-Pantothenate,,hmdb/HMDB00210;kegg.compound/C00864;pubchem.compound/988,,"1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/p-1",c,MMRNM0195c,-1.0,Cx2816,Cx2816[c],HMDB00210,C00864,988,,,
(R)-Pantothenate[s],,(R)-Pantothenate,,hmdb/HMDB00210;kegg.compound/C00864;pubchem.compound/988,,"1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/p-1",s,MMRNM0195s,-1.0,Cx2816,Cx2816[s],HMDB00210,C00864,988,,,
"(R)-Propane-1,2-Diol[c]",,"(R)-Propane-1,2-Diol",,hmdb/HMDB01881;kegg.compound/C00583;pubchem.compound/1030,,"1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3",c,MMRNM0196c,0.0,Cx1392,Cx1392[c],HMDB01881,C00583,1030,,,
(R)-S-Lactoylglutathionate[c],,(R)-S-Lactoylglutathionate,,kegg.compound/C03451;pubchem.compound/440018,,"1S/C13H21N3O8S/c1-6(17)13(24)25-5-8(11(21)15-4-10(19)20)16-9(18)3-2-7(14)12(22)23/h6-8,17H,2-5,14H2,1H3,(H,15,21)(H,16,18)(H,19,20)(H,22,23)/p-1/t6-,7+,8+/m1/s1",c,MMRNM0197c,-1.0,Cx2630,Cx2630[c],,C03451,440018,,,
(R)-S-Lactoylglutathionate[m],,(R)-S-Lactoylglutathionate,,kegg.compound/C03451;pubchem.compound/440018,,"1S/C13H21N3O8S/c1-6(17)13(24)25-5-8(11(21)15-4-10(19)20)16-9(18)3-2-7(14)12(22)23/h6-8,17H,2-5,14H2,1H3,(H,15,21)(H,16,18)(H,19,20)(H,22,23)/p-1/t6-,7+,8+/m1/s1",m,MMRNM0197m,-1.0,Cx2630,Cx2630[m],,C03451,440018,,,
(R)-S-lactoylglutathione[c],,(R)-S-lactoylglutathione,,bigg.metabolite/lgt__S;kegg.compound/C03451;chebi/CHEBI:15694;pubchem.compound/440018;vmhmetabolite/lgt_S;metanetx.chemical/MNXM1253;sbo/SBO:0000247,C13H21N3O8S,,c,MMRNM0198c,,C03451,C03451[c],,C03451,440018,CHEBI:15694,,SBO:0000247
(R)-S-lactoylglutathione[m],,(R)-S-lactoylglutathione,,bigg.metabolite/lgt__S;kegg.compound/C03451;chebi/CHEBI:15694;pubchem.compound/440018;vmhmetabolite/lgt_S;metanetx.chemical/MNXM1253;sbo/SBO:0000247,C13H21N3O8S,,m,MMRNM0198m,,C03451,C03451[m],,C03451,440018,CHEBI:15694,,SBO:0000247
(S)-2-aminobutanoate[c],,(S)-2-aminobutanoate,,kegg.compound/C02356;hmdb/HMDB00452;chebi/CHEBI:35619;pubchem.compound/80283;lipidmaps/LMFA01100034;vmhmetabolite/C02356;metanetx.chemical/MNXM17054;sbo/SBO:0000247,C4H9NO2,,c,MMRNM0199c,,C02356,C02356[c],HMDB00452,C02356,80283,CHEBI:35619,LMFA01100034,SBO:0000247
(S)-3-Aminoisobutyric Acid[c],,(S)-3-Aminoisobutyric Acid,,bigg.metabolite/3aib;kegg.compound/C03284;hmdb/HMDB02166;chebi/CHEBI:33094;pubchem.compound/439434;vmhmetabolite/3aib;metanetx.chemical/MNXM2053;metanetx.chemical/MNXM786;sbo/SBO:0000247,,"1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1",c,MMRNM0200c,0.0,C03284,C03284[c],HMDB02166,C03284,439434,CHEBI:33094,,SBO:0000247
(S)-3-hydroxy-11-cis-octadecenoyl-CoA[m],,(S)-3-hydroxy-11-cis-octadecenoyl-CoA,,,C39H68N7O18P3S,,m,MMRNM0201m,,Cx105,Cx105[m],,,,,,
(S)-3-hydroxy-11-cis-octadecenoyl-CoA[p],,(S)-3-hydroxy-11-cis-octadecenoyl-CoA,,,C39H68N7O18P3S,,p,MMRNM0201p,,Cx105,Cx105[p],,,,,,
(S)-3-hydroxy-2-methylbutyryl-CoA[m],,(S)-3-hydroxy-2-methylbutyryl-CoA,,bigg.metabolite/3hmbcoa;kegg.compound/C04405;chebi/CHEBI:15449;pubchem.compound/11966220;vmhmetabolite/3hmbcoa;metanetx.chemical/MNXM701;sbo/SBO:0000247,C26H44N7O18P3S,,m,MMRNM0202m,,C04405,C04405[m],,C04405,11966220,CHEBI:15449,,SBO:0000247
(S)-3-hydroxy-7-hexadecenoyl-CoA[m],,(S)-3-hydroxy-7-hexadecenoyl-CoA,,,C37H64N7O18P3S,,m,MMRNM0203m,,Cx106,Cx106[m],,,,,,
(S)-3-hydroxy-7-hexadecenoyl-CoA[p],,(S)-3-hydroxy-7-hexadecenoyl-CoA,,,C37H64N7O18P3S,,p,MMRNM0203p,,Cx106,Cx106[p],,,,,,
(S)-3-hydroxybutyryl-CoA[m],,(S)-3-hydroxybutyryl-CoA,,bigg.metabolite/3hbcoa;kegg.compound/C01144;chebi/CHEBI:15453;pubchem.compound/9543037;vmhmetabolite/3hbcoa;metanetx.chemical/MNXM446;sbo/SBO:0000247,C25H42N7O18P3S,,m,MMRNM0204m,,C01144,C01144[m],,C01144,9543037,CHEBI:15453,,SBO:0000247
(S)-3-hydroxybutyryl-CoA[p],,(S)-3-hydroxybutyryl-CoA,,bigg.metabolite/3hbcoa;kegg.compound/C01144;chebi/CHEBI:15453;pubchem.compound/9543037;vmhmetabolite/3hbcoa;metanetx.chemical/MNXM446;sbo/SBO:0000247,C25H42N7O18P3S,,p,MMRNM0204p,,C01144,C01144[p],,C01144,9543037,CHEBI:15453,,SBO:0000247
(S)-3-Hydroxydecanoyl Coenzyme A[c],,(S)-3-Hydroxydecanoyl Coenzyme A,,kegg.compound/C05264;pubchem.compound/11966158,,"1S/C31H54N7O18P3S/c1-4-5-6-7-8-9-19(39)14-22(41)60-13-12-33-21(40)10-11-34-29(44)26(43)31(2,3)16-53-59(50,51)56-58(48,49)52-15-20-25(55-57(45,46)47)24(42)30(54-20)38-18-37-23-27(32)35-17-36-28(23)38/h17-20,24-26,30,39,42-43H,4-16H2,1-3H3,(H,33,40)(H,34,44)(H,48,49)(H,50,51)(H2,32,35,36)(H2,45,46,47)/p-4/t19-,20+,24+,25+,26-,30+/m0/s1",c,MMRNM0205c,-4.0,Cx1460,Cx1460[c],,C05264,11966158,,,
(S)-3-Hydroxydecanoyl Coenzyme A[m],,(S)-3-Hydroxydecanoyl Coenzyme A,,kegg.compound/C05264;pubchem.compound/11966158,,"1S/C31H54N7O18P3S/c1-4-5-6-7-8-9-19(39)14-22(41)60-13-12-33-21(40)10-11-34-29(44)26(43)31(2,3)16-53-59(50,51)56-58(48,49)52-15-20-25(55-57(45,46)47)24(42)30(54-20)38-18-37-23-27(32)35-17-36-28(23)38/h17-20,24-26,30,39,42-43H,4-16H2,1-3H3,(H,33,40)(H,34,44)(H,48,49)(H,50,51)(H2,32,35,36)(H2,45,46,47)/p-4/t19-,20+,24+,25+,26-,30+/m0/s1",m,MMRNM0205m,-4.0,Cx1460,Cx1460[m],,C05264,11966158,,,
(S)-3-Hydroxydodecanoyl Coenzyme A[c],,(S)-3-Hydroxydodecanoyl Coenzyme A,,kegg.compound/C05262;pubchem.compound/440603,,"1S/C33H58N7O18P3S/c1-4-5-6-7-8-9-10-11-21(41)16-24(43)62-15-14-35-23(42)12-13-36-31(46)28(45)33(2,3)18-55-61(52,53)58-60(50,51)54-17-22-27(57-59(47,48)49)26(44)32(56-22)40-20-39-25-29(34)37-19-38-30(25)40/h19-22,26-28,32,41,44-45H,4-18H2,1-3H3,(H,35,42)(H,36,46)(H,50,51)(H,52,53)(H2,34,37,38)(H2,47,48,49)/p-4/t21-,22+,26+,27+,28-,32+/m0/s1",c,MMRNM0206c,-4.0,Cx1461,Cx1461[c],,C05262,440603,,,
(S)-3-Hydroxydodecanoyl Coenzyme A[m],,(S)-3-Hydroxydodecanoyl Coenzyme A,,kegg.compound/C05262;pubchem.compound/440603,,"1S/C33H58N7O18P3S/c1-4-5-6-7-8-9-10-11-21(41)16-24(43)62-15-14-35-23(42)12-13-36-31(46)28(45)33(2,3)18-55-61(52,53)58-60(50,51)54-17-22-27(57-59(47,48)49)26(44)32(56-22)40-20-39-25-29(34)37-19-38-30(25)40/h19-22,26-28,32,41,44-45H,4-18H2,1-3H3,(H,35,42)(H,36,46)(H,50,51)(H,52,53)(H2,34,37,38)(H2,47,48,49)/p-4/t21-,22+,26+,27+,28-,32+/m0/s1",m,MMRNM0206m,-4.0,Cx1461,Cx1461[m],,C05262,440603,,,
(S)-3-hydroxydodecanoyl-CoA[m],,(S)-3-hydroxydodecanoyl-CoA,,kegg.compound/C05262;chebi/CHEBI:27668;pubchem.compound/440603;lipidmaps/LMFA07050012;vmhmetabolite/3hddcoa;metanetx.chemical/MNXM733;sbo/SBO:0000247,C33H58N7O18P3S,,m,MMRNM0207m,,C05262,C05262[m],,C05262,440603,CHEBI:27668,LMFA07050012,SBO:0000247
(S)-3-hydroxydodecanoyl-CoA[p],,(S)-3-hydroxydodecanoyl-CoA,,kegg.compound/C05262;chebi/CHEBI:27668;pubchem.compound/440603;lipidmaps/LMFA07050012;vmhmetabolite/3hddcoa;metanetx.chemical/MNXM733;sbo/SBO:0000247,C33H58N7O18P3S,,p,MMRNM0207p,,C05262,C05262[p],,C05262,440603,CHEBI:27668,LMFA07050012,SBO:0000247
(S)-3-hydroxyhexadecanoyl-CoA[m],,(S)-3-hydroxyhexadecanoyl-CoA,,kegg.compound/C05258;chebi/CHEBI:27402;pubchem.compound/11966179;lipidmaps/LMFA07050032;vmhmetabolite/HC01397;metanetx.chemical/MNXM825;sbo/SBO:0000247,C37H66N7O18P3S,,m,MMRNM0208m,,C05258,C05258[m],,C05258,11966179,CHEBI:27402,LMFA07050032,SBO:0000247
(S)-3-hydroxyhexadecanoyl-CoA[p],,(S)-3-hydroxyhexadecanoyl-CoA,,kegg.compound/C05258;chebi/CHEBI:27402;pubchem.compound/11966179;lipidmaps/LMFA07050032;vmhmetabolite/HC01397;metanetx.chemical/MNXM825;sbo/SBO:0000247,C37H66N7O18P3S,,p,MMRNM0208p,,C05258,C05258[p],,C05258,11966179,CHEBI:27402,LMFA07050032,SBO:0000247
(S)-3-Hydroxyoctadecanoyl Coenzyme A[c],,(S)-3-Hydroxyoctadecanoyl Coenzyme A,,pubchem.compound/49859586,C39H66N7O18P3S,,c,MMRNM0209c,-4.0,Cx1475,Cx1475[c],,,49859586,,,
(S)-3-Hydroxyoctadecanoyl Coenzyme A[m],,(S)-3-Hydroxyoctadecanoyl Coenzyme A,,pubchem.compound/49859586,C39H66N7O18P3S,,m,MMRNM0209m,-4.0,Cx1475,Cx1475[m],,,49859586,,,
(S)-3-hydroxyoleyleoyl-CoA[m],,(S)-3-hydroxyoleyleoyl-CoA,,,C39H68N7O18P3S,,m,MMRNM0210m,,Cx107,Cx107[m],,,,,,
(S)-3-hydroxyoleyleoyl-CoA[p],,(S)-3-hydroxyoleyleoyl-CoA,,,C39H68N7O18P3S,,p,MMRNM0210p,,Cx107,Cx107[p],,,,,,
(S)-3-hydroxypalmitoleoyl-CoA[m],,(S)-3-hydroxypalmitoleoyl-CoA,,,C37H64N7O18P3S,,m,MMRNM0211m,,Cx108,Cx108[m],,,,,,
(S)-3-hydroxypalmitoleoyl-CoA[p],,(S)-3-hydroxypalmitoleoyl-CoA,,,C37H64N7O18P3S,,p,MMRNM0211p,,Cx108,Cx108[p],,,,,,
(S)-3-Hydroxytetradecanoyl Coenzyme A[c],,(S)-3-Hydroxytetradecanoyl Coenzyme A,,kegg.compound/C05260;pubchem.compound/46173488,,"1S/C35H62N7O18P3S/c1-4-5-6-7-8-9-10-11-12-13-23(43)18-26(45)64-17-16-37-25(44)14-15-38-33(48)30(47)35(2,3)20-57-63(54,55)60-62(52,53)56-19-24-29(59-61(49,50)51)28(46)34(58-24)42-22-41-27-31(36)39-21-40-32(27)42/h21-24,28-30,34,43,46-47H,4-20H2,1-3H3,(H,37,44)(H,38,48)(H,52,53)(H,54,55)(H2,36,39,40)(H2,49,50,51)/p-4/t23-,24+,28+,29+,30-,34+/m0/s1",c,MMRNM0212c,-4.0,Cx1486,Cx1486[c],,C05260,46173488,,,
(S)-3-Hydroxytetradecanoyl Coenzyme A[m],,(S)-3-Hydroxytetradecanoyl Coenzyme A,,kegg.compound/C05260;pubchem.compound/46173488,,"1S/C35H62N7O18P3S/c1-4-5-6-7-8-9-10-11-12-13-23(43)18-26(45)64-17-16-37-25(44)14-15-38-33(48)30(47)35(2,3)20-57-63(54,55)60-62(52,53)56-19-24-29(59-61(49,50)51)28(46)34(58-24)42-22-41-27-31(36)39-21-40-32(27)42/h21-24,28-30,34,43,46-47H,4-20H2,1-3H3,(H,37,44)(H,38,48)(H,52,53)(H,54,55)(H2,36,39,40)(H2,49,50,51)/p-4/t23-,24+,28+,29+,30-,34+/m0/s1",m,MMRNM0212m,-4.0,Cx1486,Cx1486[m],,C05260,46173488,,,
(S)-3-hydroxytetradecanoyl-CoA[m],,(S)-3-hydroxytetradecanoyl-CoA,,kegg.compound/C05260;chebi/CHEBI:27466;pubchem.compound/46173488;lipidmaps/LMFA07050033;vmhmetabolite/3htdcoa;metanetx.chemical/MNXM767;sbo/SBO:0000247,C35H62N7O18P3S,,m,MMRNM0213m,,C05260,C05260[m],,C05260,46173488,CHEBI:27466,LMFA07050033,SBO:0000247
(S)-3-hydroxytetradecanoyl-CoA[p],,(S)-3-hydroxytetradecanoyl-CoA,,kegg.compound/C05260;chebi/CHEBI:27466;pubchem.compound/46173488;lipidmaps/LMFA07050033;vmhmetabolite/3htdcoa;metanetx.chemical/MNXM767;sbo/SBO:0000247,C35H62N7O18P3S,,p,MMRNM0213p,,C05260,C05260[p],,C05260,46173488,CHEBI:27466,LMFA07050033,SBO:0000247
(S)-3-sulfolactate[c],,(S)-3-sulfolactate,,bigg.metabolite/sl__L;kegg.compound/C11499;chebi/CHEBI:16712;pubchem.compound/443233;vmhmetabolite/sl_L;metanetx.chemical/MNXM90148;sbo/SBO:0000247,C3H6O6S,,c,MMRNM0214c,,C11499,C11499[c],,C11499,443233,CHEBI:16712,,SBO:0000247
(S)-3-sulfolactate[m],,(S)-3-sulfolactate,,bigg.metabolite/sl__L;kegg.compound/C11499;chebi/CHEBI:16712;pubchem.compound/443233;vmhmetabolite/sl_L;metanetx.chemical/MNXM90148;sbo/SBO:0000247,C3H6O6S,,m,MMRNM0214m,,C11499,C11499[m],,C11499,443233,CHEBI:16712,,SBO:0000247
(S)-3-sulfolactate[s],,(S)-3-sulfolactate,,bigg.metabolite/sl__L;kegg.compound/C11499;chebi/CHEBI:16712;pubchem.compound/443233;vmhmetabolite/sl_L;metanetx.chemical/MNXM90148;sbo/SBO:0000247,C3H6O6S,,s,MMRNM0214s,,C11499,C11499[s],,C11499,443233,CHEBI:16712,,SBO:0000247
(S)-3-Sulfonatolactate[c],,(S)-3-Sulfonatolactate,,kegg.compound/C11499;pubchem.compound/443233,,"1S/C3H6O6S/c4-2(3(5)6)1-10(7,8)9/h2,4H,1H2,(H,5,6)(H,7,8,9)/p-2/t2-/m1/s1",c,MMRNM0215c,-2.0,Cx2884,Cx2884[c],,C11499,443233,,,
(S)-3-Sulfonatolactate[m],,(S)-3-Sulfonatolactate,,kegg.compound/C11499;pubchem.compound/443233,,"1S/C3H6O6S/c4-2(3(5)6)1-10(7,8)9/h2,4H,1H2,(H,5,6)(H,7,8,9)/p-2/t2-/m1/s1",m,MMRNM0215m,-2.0,Cx2884,Cx2884[m],,C11499,443233,,,
(S)-dihydroorotate[c],,(S)-dihydroorotate,,bigg.metabolite/dhor__S;kegg.compound/C00337;chebi/CHEBI:17025;vmhmetabolite/dhor_S;metanetx.chemical/MNXM252;sbo/SBO:0000247,C5H6N2O4,,c,MMRNM0216c,,C00337,C00337[c],,C00337,,CHEBI:17025,,SBO:0000247
(S)-Glycerate[c],,(S)-Glycerate,,pubchem.compound/6326776,,"1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)/t2-/m0/s1",c,MMRNM0217c,0.0,Cx2515,Cx2515[c],,,6326776,,,
(S)-hydroxydecanoyl-CoA[m],,(S)-hydroxydecanoyl-CoA,,kegg.compound/C05264;chebi/CHEBI:28325;pubchem.compound/11966158;lipidmaps/LMFA07050014;vmhmetabolite/3hdcoa;metanetx.chemical/MNXM674;sbo/SBO:0000247,C31H54N7O18P3S,,m,MMRNM0218m,,C05264,C05264[m],,C05264,11966158,CHEBI:28325,LMFA07050014,SBO:0000247
(S)-hydroxydecanoyl-CoA[p],,(S)-hydroxydecanoyl-CoA,,kegg.compound/C05264;chebi/CHEBI:28325;pubchem.compound/11966158;lipidmaps/LMFA07050014;vmhmetabolite/3hdcoa;metanetx.chemical/MNXM674;sbo/SBO:0000247,C31H54N7O18P3S,,p,MMRNM0218p,,C05264,C05264[p],,C05264,11966158,CHEBI:28325,LMFA07050014,SBO:0000247
