,#,ID,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE
408,,1-acylglycerol-3P-palm[c],1-acylglycerol-3P-palm,,lipidmaps/LMGP10050006,C19H39O7P,,c,MMRNM0310c,
409,,1-acylglycerol-3P-palmn[c],1-acylglycerol-3P-palmn,,lipidmaps/LMGP10050016,C19H37O7P,,c,MMRNM0311c,-4.0
410,,1-acylglycerol-3P-pentade[c],1-acylglycerol-3P-pentade,,lipidmaps/LMGP10050037,C18H37O7P,,c,MMRNM0312c,-4.0
411,,1-acylglycerol-3P-stea[c],1-acylglycerol-3P-stea,,lipidmaps/LMGP10050005,C21H43O7P,,c,MMRNM0313c,
412,,1-acylglycerol-3P-tetraco[c],1-acylglycerol-3P-tetraco,,,C27H55O7P,,c,MMRNM0314c,
413,,1-acylglycerol-3P-trico[c],1-acylglycerol-3P-trico,,,C26H53O7P,,c,MMRNM0315c,
414,,1-acylglycerol-3P-tridec[c],1-acylglycerol-3P-tridec,,lipidmaps/LMGP10050001,C16H33O7P,,c,MMRNM0316c,
415,,1-acylglycerol-chylomicron pool[c],1-acylglycerol-chylomicron pool,,,,,c,MMRNM0317c,-4.0
416,,1-acylglycerol-chylomicron pool[s],1-acylglycerol-chylomicron pool,,,,,s,MMRNM0317s,-4.0
417,,1-acylglycerol-LD-PC pool[c],1-acylglycerol-LD-PC pool,,,,,c,MMRNM0318c,
418,,1-acylglycerol-LD-PE pool[c],1-acylglycerol-LD-PE pool,,,,,c,MMRNM0319c,
419,,1-acylglycerol-LD-PI pool[c],1-acylglycerol-LD-PI pool,,,,,c,MMRNM0320c,
420,,1-acylglycerol-LD-PS pool[c],1-acylglycerol-LD-PS pool,,,,,c,MMRNM0321c,
421,,1-acylglycerol-LD-SM pool[c],1-acylglycerol-LD-SM pool,,,,,c,MMRNM0322c,
422,,1-acylglycerol-LD-TG1 pool[c],1-acylglycerol-LD-TG1 pool,,,,,c,MMRNM0323c,-2.0
423,,1-acylglycerol-VLDL pool[c],1-acylglycerol-VLDL pool,,,,,c,MMRNM0324c,-2.0
424,,1-acylglycerol-VLDL pool[s],1-acylglycerol-VLDL pool,,,,,s,MMRNM0324s,
425,,1-Alkyl 2-Lysoglycerol 3-Phosphocholine[c],1-Alkyl 2-Lysoglycerol 3-Phosphocholine,,kegg.compound/C04317,C10H21O5NPFULLR,,c,MMRNM0326c,0.0
426,,1-Alkyl 2-Lysoglycerol 3-Phosphocholine[s],1-Alkyl 2-Lysoglycerol 3-Phosphocholine,,kegg.compound/C04317,C10H21O5NPFULLR,,s,MMRNM0326s,
427,,1-methylnicotinamide[c],1-methylnicotinamide,,obo.chebi:CHEBI/16797,C7H9N2O,,c,MMRNM0366c,
428,,1-methylnicotinamide[s],1-methylnicotinamide,,obo.chebi:CHEBI/16797,C7H9N2O,,s,MMRNM0366s,
429,,1-organyl-2-lyso-sn-glycero-3-phosphocholine[c],1-organyl-2-lyso-sn-glycero-3-phosphocholine,,,C8H20NO6PR,,c,MMRNM0384c,
430,,1-organyl-2-lyso-sn-glycero-3-phosphocholine[s],1-organyl-2-lyso-sn-glycero-3-phosphocholine,,,C8H20NO6PR,,s,MMRNM0384s,
431,,"1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate[r]","1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate",,kegg.compound/C05981,C9H13O18P4FULLRCO2FULLR2CO2,,r,MMRNM0393r,
432,,1-phosphatidyl-1D-myo-inositol 5-phosphate[m],1-phosphatidyl-1D-myo-inositol 5-phosphate,,kegg.compound/C11557,C9H15O12P2FULLRCO2FULLR2CO2,,m,MMRNM0396m,0.0
433,,1-phosphatidyl-1D-myo-inositol-3-phosphate[c],1-phosphatidyl-1D-myo-inositol-3-phosphate,,obo.chebi:CHEBI/17283,C11H18O16P2R2,,c,MMRNM0397c,0.0
434,,1-phosphatidyl-1D-myo-inositol-3-phosphate[r],1-phosphatidyl-1D-myo-inositol-3-phosphate,,obo.chebi:CHEBI/17283,C11H18O16P2R2,,r,MMRNM0397r,0.0
435,,1-phosphatidyl-1D-myo-inositol-3-phosphate[n],1-phosphatidyl-1D-myo-inositol-3-phosphate,,obo.chebi:CHEBI/17283,C11H18O16P2R2,,n,MMRNM0397n,-1.0
436,,"1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate[c]","1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate",,obo.chebi:CHEBI/16152,C11H19O19P3R2,,c,MMRNM0398c,-1.0
437,,"1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate[n]","1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate",,,C11H19O19P3R2,,n,MMRNM0398n,-1.0
438,,1-phosphatidyl-1D-myo-inositol-4-phosphate[c],1-phosphatidyl-1D-myo-inositol-4-phosphate,,obo.chebi:CHEBI/17526,C11H18O16P2R2,,c,MMRNM0399c,-1.0
439,,1-phosphatidyl-1D-myo-inositol-4-phosphate[n],1-phosphatidyl-1D-myo-inositol-4-phosphate,,obo.chebi:CHEBI/17526,C11H18O16P2R2,,n,MMRNM0399n,-2.0
440,,1-phosphatidyl-1D-myo-inositol-5-phosphate[c],1-phosphatidyl-1D-myo-inositol-5-phosphate,,obo.chebi:CHEBI/16500,C11H18O16P2R2,,c,MMRNM0400c,-2.0
441,,1-phosphatidyl-1D-myo-inositol-5-phosphate[g],1-phosphatidyl-1D-myo-inositol-5-phosphate,,obo.chebi:CHEBI/16500,C11H18O16P2R2,,g,MMRNM0400g,-5.0
442,,1-phosphatidyl-1D-myo-inositol-5-phosphate[r],1-phosphatidyl-1D-myo-inositol-5-phosphate,,obo.chebi:CHEBI/16500,C11H18O16P2R2,,r,MMRNM0400r,-5.0
443,,1-phosphatidyl-1D-myo-inositol[r],1-phosphatidyl-1D-myo-inositol,,,C9H16O9PFULLRCO2FULLR2CO2,,r,MMRNM0401r,-5.0
444,,"1-phosphatidyl-myo-inositol-3,5-bisphosphate[c]","1-phosphatidyl-myo-inositol-3,5-bisphosphate",,kegg.compound/C11556,C11H19O19P3R2,,c,MMRNM0402c,0.0
445,,1-piperideine-6-carboxylate[c],1-piperideine-6-carboxylate,,obo.chebi:CHEBI/16987,C6H9NO2,,c,MMRNM0403c,-1.0
446,,1-piperideine-6-carboxylate[p],1-piperideine-6-carboxylate,,obo.chebi:CHEBI/16987,C6H9NO2,,p,MMRNM0403p,-1.0
447,,1-pyrroline-5-carboxylate[c],1-pyrroline-5-carboxylate,,obo.chebi:CHEBI/371,C5H7NO2,,c,MMRNM0405c,
448,,1-pyrroline-5-carboxylate[m],1-pyrroline-5-carboxylate,,obo.chebi:CHEBI/371,C5H7NO2,,m,MMRNM0405m,
449,,1-pyrroline[c],1-pyrroline,,obo.chebi:CHEBI/19092,C4H7N,,c,MMRNM0406c,
450,,1-radyl-2-acyl-sn-glycero-3-phosphocholine[c],1-radyl-2-acyl-sn-glycero-3-phosphocholine,,obo.chebi:CHEBI/36702,C9H19NO7PR2,,c,MMRNM0407c,
451,,"1,2-diacylglycerol-chylomicron pool[s]","1,2-diacylglycerol-chylomicron pool",,,,,s,MMRNM0418s,
452,,"1,2-diacylglycerol-LD-PC pool[c]","1,2-diacylglycerol-LD-PC pool",,,,,c,MMRNM0419c,
453,,"1,2-diacylglycerol-LD-PE pool[c]","1,2-diacylglycerol-LD-PE pool",,,,,c,MMRNM0420c,
454,,"1,2-diacylglycerol-LD-PE pool[r]","1,2-diacylglycerol-LD-PE pool",,,,,r,MMRNM0420r,
455,,"1,2-diacylglycerol-LD-PI pool[c]","1,2-diacylglycerol-LD-PI pool",,,,,c,MMRNM0421c,
456,,"1,2-diacylglycerol-LD-PS pool[c]","1,2-diacylglycerol-LD-PS pool",,,,,c,MMRNM0422c,
457,,"1,2-diacylglycerol-LD-SM pool[c]","1,2-diacylglycerol-LD-SM pool",,,,,c,MMRNM0423c,
458,,"1,2-diacylglycerol-LD-TAG pool[c]","1,2-diacylglycerol-LD-TAG pool",,,,,c,MMRNM0424c,
459,,"1,2-diacylglycerol-LD-TAG pool[g]","1,2-diacylglycerol-LD-TAG pool",,,,,g,MMRNM0424g,
460,,"1,2-diacylglycerol-LD-TAG pool[n]","1,2-diacylglycerol-LD-TAG pool",,,,,n,MMRNM0424n,
461,,"1,2-diacylglycerol-VLDL pool[s]","1,2-diacylglycerol-VLDL pool",,,,,s,MMRNM0425s,
462,,"1,2-dihydroxy-5-(methylthio)pent-1-en-3-one[c]","1,2-dihydroxy-5-(methylthio)pent-1-en-3-one",,obo.chebi:CHEBI/49252,C6H10O3S,,c,MMRNM0429c,
463,,"1,3-bisphospho-D-glycerate[c]","1,3-bisphospho-D-glycerate",,obo.chebi:CHEBI/16001,C3H8O10P2,,c,MMRNM0433c,
464,,"1,3-diaminopropane[c]","1,3-diaminopropane",,obo.chebi:CHEBI/15725,C3H10N2,,c,MMRNM0434c,
465,,10-formyl-THF-glu(5)[c],10-formyl-THF-glu(5),,,C40H51N11O19,,c,MMRNM0439c,
466,,10-formyl-THF-glu(5)[l],10-formyl-THF-glu(5),,,C40H51N11O19,,l,MMRNM0439l,
467,,10-formyl-THF-glu(5)[m],10-formyl-THF-glu(5),,,C40H51N11O19,,m,MMRNM0439m,
468,,10-formyl-THF-glu(5)[s],10-formyl-THF-glu(5),,,C40H51N11O19,,s,MMRNM0439s,-1.0
469,,10-formyl-THF-glu(6)[c],10-formyl-THF-glu(6),,,C45H58N12O22,,c,MMRNM0440c,
470,,10-formyl-THF-glu(6)[l],10-formyl-THF-glu(6),,,C45H58N12O22,,l,MMRNM0440l,
471,,10-formyl-THF-glu(6)[m],10-formyl-THF-glu(6),,,C45H58N12O22,,m,MMRNM0440m,
472,,10-formyl-THF-glu(6)[s],10-formyl-THF-glu(6),,,C45H58N12O22,,s,MMRNM0440s,
473,,10-formyl-THF-glu(7)[c],10-formyl-THF-glu(7),,,C50H65N13O25,,c,MMRNM0441c,
474,,10-formyl-THF-glu(7)[l],10-formyl-THF-glu(7),,,C50H65N13O25,,l,MMRNM0441l,
475,,10-formyl-THF-glu(7)[m],10-formyl-THF-glu(7),,,C50H65N13O25,,m,MMRNM0441m,
476,,10-formyl-THF-glu(7)[s],10-formyl-THF-glu(7),,,C50H65N13O25,,s,MMRNM0441s,
477,,10-formyl-THF[c],10-formyl-THF,,obo.chebi:CHEBI/15637,C20H23N7O7,,c,MMRNM0442c,
478,,10-formyl-THF[l],10-formyl-THF,,obo.chebi:CHEBI/15637,C20H23N7O7,,l,MMRNM0442l,
479,,10-formyl-THF[m],10-formyl-THF,,obo.chebi:CHEBI/15637,C20H23N7O7,,m,MMRNM0442m,
480,,10-formyl-THF[s],10-formyl-THF,,obo.chebi:CHEBI/15637,C20H23N7O7,,s,MMRNM0442s,
481,,10-HETE[c],10-HETE,,,C20H32O3,,c,MMRNM0443c,
482,,"10,11-dihydro-12-epi-LTB4[c]","10,11-dihydro-12-epi-LTB4",,,C20H34O4,,c,MMRNM0450c,
483,,"10,11-dihydro-12-epi-LTB4[m]","10,11-dihydro-12-epi-LTB4",,,C20H34O4,,m,MMRNM0450m,
484,,"10,11-dihydro-12-epi-LTB4[p]","10,11-dihydro-12-epi-LTB4",,,C20H34O4,,p,MMRNM0450p,
485,,"10,11-dihydro-12-oxo-LTB4[c]","10,11-dihydro-12-oxo-LTB4",,,C20H32O4,,c,MMRNM0451c,
486,,"10,11-dihydro-12-oxo-LTB4[m]","10,11-dihydro-12-oxo-LTB4",,,C20H32O4,,m,MMRNM0451m,
487,,"10,11-dihydro-12-oxo-LTB4[p]","10,11-dihydro-12-oxo-LTB4",,,C20H32O4,,p,MMRNM0451p,
488,,"10,11-dihydro-LTB4-CoA[c]","10,11-dihydro-LTB4-CoA",,,C41H68N7O19P3S,,c,MMRNM0455c,
489,,"10,11-dihydro-LTB4-CoA[m]","10,11-dihydro-LTB4-CoA",,,C41H68N7O19P3S,,m,MMRNM0455m,
490,,"10,11-dihydro-LTB4-CoA[p]","10,11-dihydro-LTB4-CoA",,,C41H68N7O19P3S,,p,MMRNM0455p,
491,,"10,11-dihydro-LTB4[c]","10,11-dihydro-LTB4",,,C20H34O4,,c,MMRNM0456c,
492,,"10,11-dihydro-LTB4[m]","10,11-dihydro-LTB4",,,C20H34O4,,m,MMRNM0456m,
493,,"10,11-dihydro-LTB4[p]","10,11-dihydro-LTB4",,,C20H34O4,,p,MMRNM0456p,
494,,"10,13,16-docosatrienoyl-CoA[c]","10,13,16-docosatrienoyl-CoA",,,C43H72N7O17P3S,,c,MMRNM0458c,
495,,"10,13,16-docosatrienoyl-CoA[m]","10,13,16-docosatrienoyl-CoA",,,C43H72N7O17P3S,,m,MMRNM0458m,
496,,"10,13,16-docosatrienoyl-CoA[r]","10,13,16-docosatrienoyl-CoA",,,C43H72N7O17P3S,,r,MMRNM0458r,
497,,"10,13,16-docosatrienoylcarnitine[c]","10,13,16-docosatrienoylcarnitine",,,C29H51NO4,,c,MMRNM0459c,
498,,"10,13,16-docosatrienoylcarnitine[m]","10,13,16-docosatrienoylcarnitine",,,C29H51NO4,,m,MMRNM0459m,
499,,"10,13,16-docosatrienoylcarnitine[r]","10,13,16-docosatrienoylcarnitine",,,C29H51NO4,,r,MMRNM0459r,
500,,"10,13,16-docosatriynoic acid[c]","10,13,16-docosatriynoic acid",,lipidmaps/LMFA01030685,C22H38O2,,c,MMRNM0460c,
501,,"10,13,16-docosatriynoic acid[r]","10,13,16-docosatriynoic acid",,lipidmaps/LMFA01030685,C22H38O2,,r,MMRNM0460r,
502,,"10,13,16-docosatriynoic acid[s]","10,13,16-docosatriynoic acid",,lipidmaps/LMFA01030685,C22H38O2,,s,MMRNM0460s,
503,,"10,13,16,19-docosatetraenoic acid[c]","10,13,16,19-docosatetraenoic acid",,,C22H36O2,,c,MMRNM0461c,
504,,"10,13,16,19-docosatetraenoic acid[r]","10,13,16,19-docosatetraenoic acid",,,C22H36O2,,r,MMRNM0461r,
505,,"10,13,16,19-docosatetraenoic acid[s]","10,13,16,19-docosatetraenoic acid",,,C22H36O2,,s,MMRNM0461s,
506,,"10,13,16,19-docosatetraenoyl-CoA[c]","10,13,16,19-docosatetraenoyl-CoA",,,C43H70N7O17P3S,,c,MMRNM0462c,
507,,"10,13,16,19-docosatetraenoyl-CoA[m]","10,13,16,19-docosatetraenoyl-CoA",,,C43H70N7O17P3S,,m,MMRNM0462m,
508,,"10,13,16,19-docosatetraenoyl-CoA[r]","10,13,16,19-docosatetraenoyl-CoA",,,C43H70N7O17P3S,,r,MMRNM0462r,
509,,"10,13,16,19-docosatetraenoylcarnitine[c]","10,13,16,19-docosatetraenoylcarnitine",,,C29H49NO4,,c,MMRNM0463c,
510,,"10,13,16,19-docosatetraenoylcarnitine[m]","10,13,16,19-docosatetraenoylcarnitine",,,C29H49NO4,,m,MMRNM0463m,
511,,"10,13,16,19-docosatetraenoylcarnitine[r]","10,13,16,19-docosatetraenoylcarnitine",,,C29H49NO4,,r,MMRNM0463r,
512,,11-cis-retinal[c],11-cis-retinal,,obo.chebi:CHEBI/16066,C20H28O,,c,MMRNM0466c,
513,,11-cis-retinol[c],11-cis-retinol,,kegg.compound/C00899,C20H30O,,c,MMRNM0467c,
514,,11-Deoxycorticosterone[c],11-Deoxycorticosterone,,kegg.compound/C03205;pubchem.compound/6166,,"1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1",c,MMRNM0470c,
515,,11-Deoxycorticosterone[r],11-Deoxycorticosterone,,kegg.compound/C03205;pubchem.compound/6166,,"1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1",r,MMRNM0470r,
516,,11-deoxycortisol[c],11-deoxycortisol,,obo.chebi:CHEBI/28324,C21H30O4,,c,MMRNM0471c,
517,,11-deoxycortisol[r],11-deoxycortisol,,obo.chebi:CHEBI/28324,C21H30O4,,r,MMRNM0471r,
518,,11-Octadecenoyl Carnitine[c],11-Octadecenoyl Carnitine,,pubchem.compound/53477830,,"1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(26(2,3)4)21-22-24(27)28/h10-11,23H,5-9,12-22H2,1-4H3/b11-10+/t23-/m0/s1",c,MMRNM0477c,
519,,11-Octadecenoyl Carnitine[m],11-Octadecenoyl Carnitine,,pubchem.compound/53477830,,"1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(26(2,3)4)21-22-24(27)28/h10-11,23H,5-9,12-22H2,1-4H3/b11-10+/t23-/m0/s1",m,MMRNM0477m,
520,,11-Octadecenoyl Coenzyme A[c],11-Octadecenoyl Coenzyme A,,,,"1S/C39H68N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h9-10,26-28,32-34,38,49-50H,4-8,11-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/p-4/b10-9-/t28-,32-,33-,34+,38-/m1/s1",c,MMRNM0478c,
521,,11-Octadecenoyl Coenzyme A[m],11-Octadecenoyl Coenzyme A,,,,"1S/C39H68N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h9-10,26-28,32-34,38,49-50H,4-8,11-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/p-4/b10-9-/t28-,32-,33-,34+,38-/m1/s1",m,MMRNM0478m,
522,,11beta-hydroxyprogesterone[c],11beta-hydroxyprogesterone,,obo.chebi:CHEBI/28247,C21H30O3,,c,MMRNM0491c,
523,,"12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid[c]","12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid",,,C24H37O5,,c,MMRNM0494c,
524,,"12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid[s]","12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid",,,C24H37O5,,s,MMRNM0494s,
525,,12-hydroxydodecanoic acid[c],12-hydroxydodecanoic acid,,obo.chebi:CHEBI/39567,C12H24O3,,c,MMRNM0502c,
526,,12-keto-LTB4[c],12-keto-LTB4,,lipidmaps/LMFA03020024,C20H30O4,,c,MMRNM0504c,
527,,12-keto-LTB4[m],12-keto-LTB4,,lipidmaps/LMFA03020024,C20H30O4,,m,MMRNM0504m,
528,,12-keto-LTB4[p],12-keto-LTB4,,lipidmaps/LMFA03020024,C20H30O4,,p,MMRNM0504p,
529,,"12,15,18,21-tetracosatetraenoic acid[c]","12,15,18,21-tetracosatetraenoic acid",,,C24H40O2,,c,MMRNM0520c,
530,,"12,15,18,21-tetracosatetraenoic acid[r]","12,15,18,21-tetracosatetraenoic acid",,,C24H40O2,,r,MMRNM0520r,
531,,"12,15,18,21-tetracosatetraenoic acid[s]","12,15,18,21-tetracosatetraenoic acid",,,C24H40O2,,s,MMRNM0520s,
532,,"12,15,18,21-tetracosatetraenoyl-CoA[c]","12,15,18,21-tetracosatetraenoyl-CoA",,,C45H74N7O17P3S,,c,MMRNM0521c,
533,,"12,15,18,21-tetracosatetraenoyl-CoA[p]","12,15,18,21-tetracosatetraenoyl-CoA",,,C45H74N7O17P3S,,p,MMRNM0521p,
534,,"12,15,18,21-tetracosatetraenoyl-CoA[r]","12,15,18,21-tetracosatetraenoyl-CoA",,,C45H74N7O17P3S,,r,MMRNM0521r,
535,,"12,15,18,21-tetracosatetraenoylcarnitine[c]","12,15,18,21-tetracosatetraenoylcarnitine",,,C31H53NO4,,c,MMRNM0522c,
536,,"12,15,18,21-tetracosatetraenoylcarnitine[r]","12,15,18,21-tetracosatetraenoylcarnitine",,,C31H53NO4,,r,MMRNM0522r,
537,,13-Cis-Retinal[c],13-Cis-Retinal,,hmdb/HMDB06220;pubchem.compound/6436079,,"1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13-",c,MMRNM0535c,
538,,13-Cis-Retinal[r],13-Cis-Retinal,,hmdb/HMDB06220;pubchem.compound/6436079,,"1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13-",r,MMRNM0535r,
539,,13-Cis-Retinoate[c],13-Cis-Retinoate,,hmdb/HMDB06219;pubchem.compound/5282379,,"1S/C20H28O2/c1-15(8-6-9-16(2)14-19(21)22)11-12-18-17(3)10-7-13-20(18,4)5/h6,8-9,11-12,14H,7,10,13H2,1-5H3,(H,21,22)/p-1/b9-6+,12-11+,15-8+,16-14-",c,MMRNM0536c,
540,,13-Cis-Retinoate[r],13-Cis-Retinoate,,hmdb/HMDB06219;pubchem.compound/5282379,,"1S/C20H28O2/c1-15(8-6-9-16(2)14-19(21)22)11-12-18-17(3)10-7-13-20(18,4)5/h6,8-9,11-12,14H,7,10,13H2,1-5H3,(H,21,22)/p-1/b9-6+,12-11+,15-8+,16-14-",r,MMRNM0536r,
541,,13-cis-retinol[c],13-cis-retinol,,,C20H30O,,c,MMRNM0537c,
542,,13-cis-retinoyl-glucuronide[c],13-cis-retinoyl-glucuronide,,,C26H36O8,,c,MMRNM0540c,
543,,13-cis-retinoyl-glucuronide[r],13-cis-retinoyl-glucuronide,,,C26H36O8,,r,MMRNM0540r,
544,,"13,16,19-docosatrienoic acid[c]","13,16,19-docosatrienoic acid",,kegg.compound/C16534,C22H38O2,,c,MMRNM0556c,
545,,"13,16,19-docosatrienoic acid[r]","13,16,19-docosatrienoic acid",,kegg.compound/C16534,C22H38O2,,r,MMRNM0556r,
546,,"13,16,19-docosatrienoic acid[s]","13,16,19-docosatrienoic acid",,kegg.compound/C16534,C22H38O2,,s,MMRNM0556s,
547,,"13,16,19-docosatrienoyl-CoA[c]","13,16,19-docosatrienoyl-CoA",,,C43H72N7O17P3S,,c,MMRNM0557c,
548,,"13,16,19-docosatrienoyl-CoA[m]","13,16,19-docosatrienoyl-CoA",,,C43H72N7O17P3S,,m,MMRNM0557m,
549,,"13,16,19-docosatrienoyl-CoA[r]","13,16,19-docosatrienoyl-CoA",,,C43H72N7O17P3S,,r,MMRNM0557r,0.0
550,,"13,16,19-docosatrienoylcarnitine[c]","13,16,19-docosatrienoylcarnitine",,,C29H51NO4,,c,MMRNM0558c,0.0
551,,"13,16,19-docosatrienoylcarnitine[m]","13,16,19-docosatrienoylcarnitine",,,C29H51NO4,,m,MMRNM0558m,
552,,14-demethyllanosterol[c],14-demethyllanosterol,,obo.chebi:CHEBI/18364,C29H48O,,c,MMRNM0561c,
553,,14-hydroxytetradecanoic acid[c],14-hydroxytetradecanoic acid,,,C14H28O3,,c,MMRNM0565c,
554,,15-epi-lipoxin A5[c],15-epi-lipoxin A5,,,C20H29O5,,c,MMRNM0576c,
555,,15-epi-lipoxin A5[p],15-epi-lipoxin A5,,,C20H29O5,,p,MMRNM0576p,-2.0
556,,15-epi-lipoxin A5[r],15-epi-lipoxin A5,,,C20H29O5,,r,MMRNM0576r,
557,,16-glucuronide-estriol[c],16-glucuronide-estriol,,kegg.compound/C05504,C24H32O9,,c,MMRNM0596c,
558,,16-glucuronide-estriol[r],16-glucuronide-estriol,,kegg.compound/C05504,C24H32O9,,r,MMRNM0596r,0.0
559,,16-glucuronide-estriol[s],16-glucuronide-estriol,,kegg.compound/C05504,C24H32O9,,s,MMRNM0596s,0.0
560,,16-hydroxyhexadecanoic acid[c],16-hydroxyhexadecanoic acid,,,C16H32O3,,c,MMRNM0597c,0.0
561,,"16,18-oxo-18-CoA-dinor-LTE4[p]","16,18-oxo-18-CoA-dinor-LTE4",,,C42H65N8O23P3S2,,p,MMRNM0599p,0.0
562,,16(S)-hydroxy-18-oxo-18-CoA-LTE4[p],16(S)-hydroxy-18-oxo-18-CoA-LTE4,,,C42H67N8O23P3S2,,p,MMRNM0601p,
563,,16Alpha-Hydroxydehydroepiandrosterone[r],16Alpha-Hydroxydehydroepiandrosterone,,hmdb/HMDB00352;kegg.compound/C05139;pubchem.compound/102030,,"1S/C19H28O3/c1-18-7-5-12(20)9-11(18)3-4-13-14(18)6-8-19(2)15(13)10-16(21)17(19)22/h3,12-16,20-21H,4-10H2,1-2H3/t12-,13+,14-,15-,16+,18-,19-/m0/s1",r,MMRNM0602r,0.0
564,,17alpha-hydroxypregnenolone[c],17alpha-hydroxypregnenolone,,obo.chebi:CHEBI/28750,C21H32O3,,c,MMRNM0611c,0.0
565,,17alpha-hydroxypregnenolone[r],17alpha-hydroxypregnenolone,,obo.chebi:CHEBI/28750,C21H32O3,,r,MMRNM0611r,0.0
566,,17alpha-hydroxyprogesterone[c],17alpha-hydroxyprogesterone,,obo.chebi:CHEBI/17252,C21H30O3,,c,MMRNM0612c,0.0
567,,17alpha-hydroxyprogesterone[r],17alpha-hydroxyprogesterone,,obo.chebi:CHEBI/17252,C21H30O3,,r,MMRNM0612r,0.0
568,,"17alpha,21-dihydroxypregnenolone[c]","17alpha,21-dihydroxypregnenolone",,obo.chebi:CHEBI/27832,C21H32O4,,c,MMRNM0614c,0.0
569,,18-CoA-18-oxo-dinor-LTB4[m],18-CoA-18-oxo-dinor-LTB4,,,C39H60N7O21P3S,,m,MMRNM0619m,0.0
570,,18-CoA-18-oxo-dinor-LTB4[p],18-CoA-18-oxo-dinor-LTB4,,,C39H60N7O21P3S,,p,MMRNM0619p,0.0
571,,18-COOH-(15E)-dinor-LTE4-CoA[p],18-COOH-(15E)-dinor-LTE4-CoA,,,C42H65N8O22P3S2,,p,MMRNM0621p,0.0
572,,18-COOH-(16E)-dinor-LTE5-CoA[p],18-COOH-(16E)-dinor-LTE5-CoA,,,C42H58N8O22P3S2,,p,MMRNM0622p,0.0
573,,18-COOH-LTE4[p],18-COOH-LTE4,,,C21H31NO7S,,p,MMRNM0624p,0.0
574,,18(R)-hydroxy-20-oxo-20-CoA-LTE4[p],18(R)-hydroxy-20-oxo-20-CoA-LTE4,,,C44H69N8O23P3S2,,p,MMRNM0631p,0.0
575,,19-hydroxyandrostenedione[c],19-hydroxyandrostenedione,,,C19H26O3,,c,MMRNM0634c,0.0
576,,19-hydroxytestosterone[c],19-hydroxytestosterone,,,C19H28O3,,c,MMRNM0635c,0.0
577,,19-oxo-testosterone[c],19-oxo-testosterone,,,C19H26O3,,c,MMRNM0636c,0.0
578,,19-oxoandrostenedione[c],19-oxoandrostenedione,,,C19H24O3,,c,MMRNM0637c,0.0
